feature,coefficient,kept
steps,0.06846808718303687,True
steps_7d,0.005096237072899346,True
alcohol_units,-0.0042921217217958005,True
stress_score,-0.002835184763906475,True
prev_sleep_eff,0.0020604480706162987,True
caffeine_mg,0.0019329478290967795,True
workout_type_run,0.001783364853262103,True
screen_time_min,0.0015533572205266048,True
dbp_mmHg,0.0013958289889667293,True
workout_type_walk,0.0013006980293570939,True
workout_type_mixed,0.0008682847507808367,True
bmi,0.0008406935378392117,True
stress_7d,-0.000573846589793849,True
workout_type_none,-0.0004401792132352366,True
height_cm,-0.0003654421222715161,True
resting_hr_bpm,-0.00023815088345470692,True
sbp_mmHg,7.666427656202413e-05,True
mindfulness_minutes,-7.028888683802621e-05,True
gender_male,3.520876668541654e-05,True
workout_type_yoga,-1.7585013547245535e-05,True
workout_type_strength,-0.0,False
workout_type_cycling,0.0,False
age,0.0,False
workout_minutes,0.0,False
calories_kcal,0.0,False
distance_km,0.0,False
spo2_avg_pct,0.0,False
hrv_rmssd_ms,-0.0,False
avg_hr_day_bpm,0.0,False
weight_kg,0.0,False
gender_other,0.0,False
